"g0.bTRUE","Model","Subtype"
"1",-0.00558059708986651,"Model C","SimpleRandom"
"1",-0.00590767650768899,"Model C","SimpleRandom"
"1",-0.00453657678959244,"Model C","SimpleRandom"
"1",-0.00573543053597266,"Model C","SimpleRandom"
"1",-0.00691001976293283,"Model C","SimpleRandom"
"1",-0.00674058065321817,"Model C","SimpleRandom"
"1",-0.00692718122919828,"Model C","SimpleRandom"
"1",-0.0058851736127962,"Model C","SimpleRandom"
"1",-0.00424841670650694,"Model C","SimpleRandom"
"1",-0.00460479292791191,"Model C","SimpleRandom"
"1",-0.0060748103355689,"Model C","SimpleRandom"
"1",-0.00516759030541604,"Model C","SimpleRandom"
"1",-0.00620741428052895,"Model C","SimpleRandom"
"1",-0.00703119413739094,"Model C","SimpleRandom"
"1",-0.00651989357240001,"Model C","SimpleRandom"
"1",-0.00605474958481964,"Model C","SimpleRandom"
"1",-0.00721478630239925,"Model C","SimpleRandom"
"1",-0.00619410679462438,"Model C","SimpleRandom"
"1",-0.00790523939892218,"Model C","SimpleRandom"
"1",-0.00625699513424521,"Model C","SimpleRandom"
"1",-0.00577373277763928,"Model C","SimpleRandom"
"1",-0.00719443710238615,"Model C","SimpleRandom"
"1",-0.00621593333800468,"Model C","SimpleRandom"
"1",-0.00551970337878748,"Model C","SimpleRandom"
"1",-0.0055564018879585,"Model C","SimpleRandom"
"1",-0.0061796124937495,"Model C","SimpleRandom"
"1",-0.00837830605084746,"Model C","SimpleRandom"
"1",-0.00539370217872472,"Model C","SimpleRandom"
"1",-0.004916443501855,"Model C","SimpleRandom"
"1",-0.00511190449473158,"Model C","SimpleRandom"
"1",-0.00572819539006791,"Model C","SimpleRandom"
"1",-0.00669220384815682,"Model C","SimpleRandom"
"1",-0.00668079535111503,"Model C","SimpleRandom"
"1",-0.00803388104067741,"Model C","SimpleRandom"
"1",-0.00555559836620301,"Model C","SimpleRandom"
"1",-0.00560268686134547,"Model C","SimpleRandom"
"1",-0.00373154020934017,"Model C","SimpleRandom"
"1",-0.00576638087788622,"Model C","SimpleRandom"
